ID	CNT_1	CNT_10	CNT_2	CNT_3	CNT_4	CNT_5	CNT_6	CNT_7	CNT_8	CNT_9	ICM_1	ICM_10	ICM_11	ICM_12	ICM_13	ICM_2	ICM_3	ICM_4	ICM_5	ICM_6	ICM_7	ICM_8	ICM_9
ENSG00000169436	16.07	6.89	0.95	0	6.63	19.42	0	2.84	14.41	0.97	2.94	6.78	6.88	1.91	8.84	4.93	5.89	0	0.96	2.93	3.89	3.13	10.71
ENSG00000140548	49.16	40.33	29.58	22.33	24.64	26.22	80.72	24.58	50.91	16.55	22.54	29.06	14.75	35.27	24.56	25.66	23.57	25.23	25.94	26.37	26.25	28.15	13.63
ENSG00000124253	6.62	0	5.73	0	1.9	0	0	0	0	1.95	7.84	36.81	0	0	0	0.99	0.98	19.41	0	0	0	1.04	3.89
ENSG00000108651	96.43	121	79.21	59.11	80.55	106.82	227.03	63.35	73	108.08	126.42	79.44	101.28	106.77	73.67	111.52	107.04	134.9	131.64	85.94	124.44	93.82	96.38
ENSG00000247746	49.16	38.37	7.63	27.59	34.12	26.22	7.06	36.87	50.91	23.37	24.5	36.81	53.1	40.04	40.28	43.42	27.5	27.17	24.98	23.44	51.52	56.29	36.02
ENSG00000167123	55.78	47.22	36.26	32.84	64.44	67.98	28.25	65.24	63.39	81.79	64.68	51.35	82.6	71.5	83.5	39.48	238.62	59.2	150.86	68.36	82.63	61.5	69.12
ENSG00000167434	104.94	37.38	160.32	101.15	90.98	59.24	85.77	133.32	125.83	106.13	119.56	97.85	51.13	136.32	43.22	142.11	33.39	17.47	50.93	108.4	64.16	85.48	94.43
ENSG00000109046	1430.4	1661.51	1301.66	1148.14	1050.01	1570.3	1664.85	954.02	1476.29	1124.64	1477.83	1492.92	2332.46	1082.94	1703.35	1198.11	1798.97	1472.25	1910.19	1620.13	1467.97	2068.23	1831.18
ENSG00000109047	6.62	2.95	0	0	0.95	0	18.16	2.84	7.68	5.84	2.94	8.72	0	3.81	3.93	2.96	11.78	1.94	1.92	3.91	0	14.59	1.95
ENSG00000089818	71.85	95.42	155.55	152.39	119.41	50.5	135.21	114.41	128.71	73.03	93.1	90.1	78.67	64.82	106.09	85.86	66.77	39.79	90.32	85.94	68.05	72.97	94.43
ENSG00000084764	486.88	300.04	336.87	265.36	308.94	363.2	79.71	422.64	387.08	257.06	266.56	286.76	259.6	349.86	314.34	282.26	263.17	515.34	678.37	291.99	355.81	345.05	290.11
ENSG00000111641	399.91	148.54	88.75	116.92	89.08	426.32	1076.61	193.83	195.94	139.24	106.82	85.25	193.72	274.55	153.24	96.72	211.12	243.6	282.49	178.71	221.65	216.83	151.87
ENSG00000111640	12104.02	12274.93	14960.52	18530.56	13971.4	20753.78	16457.84	19276.02	21016.72	13673.87	14760.67	14095.05	12807.91	11860.88	20083.63	11244.83	12678.25	18525.89	24450.11	16010.86	13926.24	14868.56	12496.03
ENSG00000111642	993.62	1020.12	989.61	981.31	868.06	1375.1	779.96	1131.77	1214.07	828.63	915.31	758.57	1033.48	1080.08	1066.8	921.77	931.89	921.98	1162.64	768.56	808.84	910.06	977.41
ENSG00000075073	0	1.97	0.95	1.31	0	0	0	2.84	1.92	1.95	0	0.97	0.98	12.39	3.93	0.99	0.98	0	0	3.91	3.89	3.13	1.95
ENSG00000064300	172.06	68.86	19.09	7.88	58.76	85.46	57.51	80.37	81.64	51.61	20.58	50.38	30.48	52.43	43.22	16.78	214.07	14.56	46.12	2.93	36.94	42.74	28.23
ENSG00000103569	8.51	1.97	5.73	1.31	1.9	4.86	7.06	4.73	7.68	0.97	0.98	9.69	0.98	0	4.91	1.97	5.89	0	3.84	0.98	0	7.3	0.97
ENSG00000211451	1.89	0.98	4.77	5.25	7.58	0	0	0	3.84	1.95	2.94	0.97	0.98	0	1.96	4.93	3.93	1.94	9.61	0	7.78	2.08	1.95
ENSG00000211450	131.41	155.43	104.02	93.27	125.09	131.1	128.14	206.12	130.63	193.77	240.1	332.3	177	152.53	207.27	133.23	159.08	243.6	184.49	153.32	145.82	183.47	206.39
ENSG00000142494	103.05	74.76	30.54	85.39	64.44	109.74	20.18	80.37	97.97	98.35	80.36	160.82	90.47	102.96	71.71	82.9	118.82	142.66	81.67	95.7	90.41	108.42	120.72
ENSG00000176783	343.18	160.35	75.39	95.9	78.66	415.64	216.94	278.92	252.61	126.58	156.8	204.42	243.87	349.86	193.52	151	265.13	319.29	336.3	193.36	342.2	265.83	190.81
ENSG00000176787	1.89	0.98	0	0	0	4.86	0	4.73	0	0	0	0	0.98	3.81	0	0	3.93	1.94	0	0.98	2.92	0	0
ENSG00000114030	320.49	395.46	380.76	391.47	443.51	531.2	702.27	446.28	362.11	402.14	334.18	475.68	354.98	309.82	411.59	454.96	386.9	313.47	281.53	406.25	434.56	371.11	504.28
ENSG00000177189	129.52	325.61	455.2	390.16	409.39	251.52	442.95	272.31	207.47	270.69	330.26	248.98	198.63	119.16	300.59	300.02	168.9	169.84	192.17	245.12	166.24	228.3	265.77
ENSG00000152154	36.87	76.73	14.31	30.21	21.8	85.46	10.09	26.47	58.59	23.37	29.4	61.03	23.6	56.24	47.15	32.57	21.6	46.58	109.54	71.29	57.36	44.83	23.36
ENSG00000176788	49.16	14.76	17.18	7.88	15.16	15.54	12.11	24.58	5.76	25.32	18.62	27.13	24.58	17.16	29.47	7.9	33.39	33	36.51	9.77	34.03	18.76	21.42
ENSG00000115350	33.09	107.23	90.66	72.25	85.29	89.34	253.26	138.04	91.25	102.24	143.08	276.11	78.67	68.64	128.68	70.07	73.65	130.05	131.64	67.38	70.97	118.84	128.5
ENSG00000073331	86.03	117.06	17.18	31.53	26.53	61.18	40.36	24.58	65.31	44.79	39.2	27.13	16.72	31.46	35.36	32.57	46.15	20.38	78.79	43.95	38.89	22.93	30.18
ENSG00000156313	98.32	61.97	26.72	28.9	20.85	45.64	520.65	89.82	85.48	43.82	57.82	40.69	69.82	56.24	51.08	47.37	64.81	114.52	9.61	47.85	41.8	82.35	65.23
ENSG00000102743	6.62	3.93	7.63	10.51	20.85	6.8	3.03	4.73	5.76	7.79	3.92	1.94	3.93	0	8.84	7.9	5.89	1.94	0	7.81	6.81	6.25	1.95
ENSG00000039537	412.2	450.55	209.95	371.77	354.43	413.7	40.36	249.61	246.85	524.83	695.8	377.83	975.47	427.08	675.84	698.73	165.95	448.37	623.6	448.25	747.59	689.06	492.6
ENSG00000102962	1.89	0.98	0.95	0	1.9	0	8.07	0	0	0	0.98	4.84	0	0	0	0	3.93	2.91	14.41	0	0	0	0
ENSG00000082701	410.31	319.71	378.86	487.37	410.34	389.42	500.47	388.6	370.75	374.88	409.64	734.35	365.8	444.23	364.44	462.86	470.37	426.05	255.59	376.96	473.44	316.91	438.08
ENSG00000054148	627.75	707.3	604.07	470.29	555.33	852.64	774.91	1087.33	879.82	658.23	1343.57	1562.67	1931.27	976.17	2273.1	727.35	1548.57	1385.88	1704.57	1252.94	1167.57	1330.17	1332.74
ENSG00000048162	63.34	65.91	56.3	17.08	56.86	80.6	568.07	92.66	58.59	96.4	117.6	93	118	61.01	116.9	71.06	92.31	90.26	75.91	86.91	83.61	62.55	107.09
ENSG00000109956	18.91	4.92	4.77	0	1.9	24.28	7.06	9.46	1.92	5.84	2.94	6.78	9.83	1.91	20.63	1.97	6.87	6.79	33.63	3.91	17.5	6.25	7.79
ENSG00000043462	75.63	78.7	64.89	32.84	31.27	45.64	58.52	29.31	30.74	34.08	68.6	25.19	38.35	27.65	40.28	26.65	55.97	54.35	114.34	69.34	83.61	61.5	36.02
